1,MURDER & NON NEGL. MANSLAUGHTER                                ,0,
1,RAPE                                  ,12,
1,ROBBERY                               ,68,
1,FELONY ASSAULT                        ,87,
1,BURGLARY                              ,171,
1,GRAND LARCENY                         ,1051,
1,GRAND LARCENY OF MOTOR VEHICLE                                  ,27,
1,TOTAL SEVEN MAJOR FELONY OFFENSES,1416,
5,MURDER & NON NEGL. MANSLAUGHTER                                ,3,
5,RAPE                                  ,5,
5,ROBBERY                               ,102,
5,FELONY ASSAULT                        ,167,
5,BURGLARY                              ,92,
5,GRAND LARCENY                         ,599,
5,GRAND LARCENY OF MOTOR VEHICLE                                  ,12,
5,TOTAL SEVEN MAJOR FELONY OFFENSES,980,
6,MURDER & NON NEGL. MANSLAUGHTER                                ,2
6,RAPE                                  ,8
6,ROBBERY                               ,140
6,FELONY ASSAULT                        ,135
6,BURGLARY                              ,132
6,GRAND LARCENY                         ,1253
6,GRAND LARCENY OF MOTOR VEHICLE                                  ,33
6,TOTAL SEVEN MAJOR FELONY OFFENSES,1703
7,MURDER & NON NEGL. MANSLAUGHTER                                ,1
7,RAPE                                  ,6
7,ROBBERY                               ,145
7,FELONY ASSAULT                        ,106
7,BURGLARY                              ,67
7,GRAND LARCENY                         ,362
7,GRAND LARCENY OF MOTOR VEHICLE                                  ,24
7,TOTAL SEVEN MAJOR FELONY OFFENSES,711
9,MURDER & NON NEGL. MANSLAUGHTER                                ,2
9,RAPE                                  ,18
9,ROBBERY                               ,137
9,FELONY ASSAULT                        ,152
9,BURGLARY                              ,165
9,GRAND LARCENY                         ,904
9,GRAND LARCENY OF MOTOR VEHICLE                                  ,46
9,TOTAL SEVEN MAJOR FELONY OFFENSES,1424
10,MURDER & NON NEGL. MANSLAUGHTER                                ,1
10,RAPE                                  ,12
10,ROBBERY                               ,110
10,FELONY ASSAULT                        ,98
10,BURGLARY                              ,101
10,GRAND LARCENY                         ,762
10,GRAND LARCENY OF MOTOR VEHICLE                                  ,39
10,TOTAL SEVEN MAJOR FELONY OFFENSES,1123
13,MURDER & NON NEGL. MANSLAUGHTER                                ,1
13,RAPE                                  ,11
13,ROBBERY                               ,124
13,FELONY ASSAULT                        ,135
13,BURGLARY                              ,214
13,GRAND LARCENY                         ,1615
13,GRAND LARCENY OF MOTOR VEHICLE                                  ,52
13,TOTAL SEVEN MAJOR FELONY OFFENSES,2152
14,MURDER & NON NEGL. MANSLAUGHTER                                ,2
14,RAPE                                  ,10
14,ROBBERY                               ,174
14,FELONY ASSAULT                        ,172
14,BURGLARY                              ,345
14,GRAND LARCENY                         ,2138
14,GRAND LARCENY OF MOTOR VEHICLE                                  ,22
14,TOTAL SEVEN MAJOR FELONY OFFENSES,2863
17,MURDER & NON NEGL. MANSLAUGHTER                                ,0
17,RAPE                                  ,6
17,ROBBERY                               ,61
17,FELONY ASSAULT                        ,64
17,BURGLARY                              ,107
17,GRAND LARCENY                         ,766
17,GRAND LARCENY OF MOTOR VEHICLE                                  ,20
17,TOTAL SEVEN MAJOR FELONY OFFENSES,1024
18,MURDER & NON NEGL. MANSLAUGHTER                                ,0
18,RAPE                                  ,14
18,ROBBERY                               ,125
18,FELONY ASSAULT                        ,168
18,BURGLARY                              ,175
18,GRAND LARCENY                         ,1753
18,GRAND LARCENY OF MOTOR VEHICLE                                  ,36
18,TOTAL SEVEN MAJOR FELONY OFFENSES,2271
19,MURDER & NON NEGL. MANSLAUGHTER                                ,0
19,RAPE                                  ,6
19,ROBBERY                               ,104
19,FELONY ASSAULT                        ,97
19,BURGLARY                              ,252
19,GRAND LARCENY                         ,1548
19,GRAND LARCENY OF MOTOR VEHICLE                                  ,57
19,TOTAL SEVEN MAJOR FELONY OFFENSES,2064
20,MURDER & NON NEGL. MANSLAUGHTER                                ,2
20,RAPE                                  ,10
20,ROBBERY                               ,81
20,FELONY ASSAULT                        ,57
20,BURGLARY                              ,85
20,GRAND LARCENY                         ,712
20,GRAND LARCENY OF MOTOR VEHICLE                                  ,22
20,TOTAL SEVEN MAJOR FELONY OFFENSES,969
22,MURDER & NON NEGL. MANSLAUGHTER                                ,0
22,RAPE                                  ,4
22,ROBBERY                               ,16
22,FELONY ASSAULT                        ,5
22,BURGLARY                              ,6
22,GRAND LARCENY                         ,73
22,GRAND LARCENY OF MOTOR VEHICLE                                  ,0
22,TOTAL SEVEN MAJOR FELONY OFFENSES,104
23,MURDER & NON NEGL. MANSLAUGHTER                                ,4
23,RAPE                                  ,17
23,ROBBERY                               ,266
23,FELONY ASSAULT                        ,256
23,BURGLARY                              ,99
23,GRAND LARCENY                         ,383
23,GRAND LARCENY OF MOTOR VEHICLE                                  ,37
23,TOTAL SEVEN MAJOR FELONY OFFENSES,1062
24,MURDER & NON NEGL. MANSLAUGHTER                                ,2
24,RAPE                                  ,10
24,ROBBERY                               ,160
24,FELONY ASSAULT                        ,152
24,BURGLARY                              ,109
24,GRAND LARCENY                         ,547
24,GRAND LARCENY OF MOTOR VEHICLE                                  ,42
24,TOTAL SEVEN MAJOR FELONY OFFENSES,1022
25,MURDER & NON NEGL. MANSLAUGHTER                                ,3
25,RAPE                                  ,22
25,ROBBERY                               ,258
25,FELONY ASSAULT                        ,286
25,BURGLARY                              ,132
25,GRAND LARCENY                         ,365
25,GRAND LARCENY OF MOTOR VEHICLE                                  ,45
25,TOTAL SEVEN MAJOR FELONY OFFENSES,1111
26,MURDER & NON NEGL. MANSLAUGHTER                                ,1
26,RAPE                                  ,9
26,ROBBERY                               ,135
26,FELONY ASSAULT                        ,122
26,BURGLARY                              ,59
26,GRAND LARCENY                         ,343
26,GRAND LARCENY OF MOTOR VEHICLE                                  ,20
26,TOTAL SEVEN MAJOR FELONY OFFENSES,689
28,MURDER & NON NEGL. MANSLAUGHTER                                ,2
28,RAPE                                  ,12
28,ROBBERY                               ,211
28,FELONY ASSAULT                        ,222
28,BURGLARY                              ,82
28,GRAND LARCENY                         ,352
28,GRAND LARCENY OF MOTOR VEHICLE                                  ,39
28,TOTAL SEVEN MAJOR FELONY OFFENSES,920
30,MURDER & NON NEGL. MANSLAUGHTER                                ,3
30,RAPE                                  ,21
30,ROBBERY                               ,218
30,FELONY ASSAULT                        ,181
30,BURGLARY                              ,130
30,GRAND LARCENY                         ,244
30,GRAND LARCENY OF MOTOR VEHICLE                                  ,35
30,TOTAL SEVEN MAJOR FELONY OFFENSES,832
32,MURDER & NON NEGL. MANSLAUGHTER                                ,7
32,RAPE                                  ,27
32,ROBBERY                               ,261
32,FELONY ASSAULT                        ,295
32,BURGLARY                              ,82
32,GRAND LARCENY                         ,297
32,GRAND LARCENY OF MOTOR VEHICLE                                  ,31
32,TOTAL SEVEN MAJOR FELONY OFFENSES,1000
33,MURDER & NON NEGL. MANSLAUGHTER                                ,2
33,RAPE                                  ,19
33,ROBBERY                               ,202
33,FELONY ASSAULT                        ,200
33,BURGLARY                              ,118
33,GRAND LARCENY                         ,357
33,GRAND LARCENY OF MOTOR VEHICLE                                  ,29
33,TOTAL SEVEN MAJOR FELONY OFFENSES,927
34,MURDER & NON NEGL. MANSLAUGHTER                                ,1
34,RAPE                                  ,25
34,ROBBERY                               ,239
34,FELONY ASSAULT                        ,178
34,BURGLARY                              ,208
34,GRAND LARCENY                         ,433
34,GRAND LARCENY OF MOTOR VEHICLE                                  ,76
34,TOTAL SEVEN MAJOR FELONY OFFENSES,1160
40,MURDER & NON NEGL. MANSLAUGHTER                                ,8
40,RAPE                                  ,25
40,ROBBERY                               ,454
40,FELONY ASSAULT                        ,511
40,BURGLARY                              ,213
40,GRAND LARCENY                         ,586
40,GRAND LARCENY OF MOTOR VEHICLE                                  ,105
40,TOTAL SEVEN MAJOR FELONY OFFENSES,1902
41,MURDER & NON NEGL. MANSLAUGHTER                                ,2
41,RAPE                                  ,17
41,ROBBERY                               ,328
41,FELONY ASSAULT                        ,732
41,BURGLARY                              ,202
41,GRAND LARCENY                         ,403
41,GRAND LARCENY OF MOTOR VEHICLE                                  ,76
41,TOTAL SEVEN MAJOR FELONY OFFENSES,1760
42,MURDER & NON NEGL. MANSLAUGHTER                                ,12
42,RAPE                                  ,24
42,ROBBERY                               ,320
42,FELONY ASSAULT                        ,405
42,BURGLARY                              ,177
42,GRAND LARCENY                         ,320
42,GRAND LARCENY OF MOTOR VEHICLE                                  ,77
42,TOTAL SEVEN MAJOR FELONY OFFENSES,1335
43,MURDER & NON NEGL. MANSLAUGHTER                                ,9
43,RAPE                                  ,26
43,ROBBERY                               ,586
43,FELONY ASSAULT                        ,600
43,BURGLARY                              ,361
43,GRAND LARCENY                         ,708
43,GRAND LARCENY OF MOTOR VEHICLE                                  ,190
43,TOTAL SEVEN MAJOR FELONY OFFENSES,2480
44,MURDER & NON NEGL. MANSLAUGHTER                                ,9
44,RAPE                                  ,30
44,ROBBERY                               ,420
44,FELONY ASSAULT                        ,709
44,BURGLARY                              ,255
44,GRAND LARCENY                         ,642
44,GRAND LARCENY OF MOTOR VEHICLE                                  ,126
44,TOTAL SEVEN MAJOR FELONY OFFENSES,2191
45,MURDER & NON NEGL. MANSLAUGHTER                                ,5
45,RAPE                                  ,9
45,ROBBERY                               ,162
45,FELONY ASSAULT                        ,163
45,BURGLARY                              ,172
45,GRAND LARCENY                         ,439
45,GRAND LARCENY OF MOTOR VEHICLE                                  ,160
45,TOTAL SEVEN MAJOR FELONY OFFENSES,1110
46,MURDER & NON NEGL. MANSLAUGHTER                                ,9
46,RAPE                                  ,28
46,ROBBERY                               ,449
46,FELONY ASSAULT                        ,475
46,BURGLARY                              ,188
46,GRAND LARCENY                         ,441
46,GRAND LARCENY OF MOTOR VEHICLE                                  ,91
46,TOTAL SEVEN MAJOR FELONY OFFENSES,1681
47,MURDER & NON NEGL. MANSLAUGHTER                                ,9
47,RAPE                                  ,36
47,ROBBERY                               ,469
47,FELONY ASSAULT                        ,561
47,BURGLARY                              ,391
47,GRAND LARCENY                         ,491
47,GRAND LARCENY OF MOTOR VEHICLE                                  ,202
47,TOTAL SEVEN MAJOR FELONY OFFENSES,2159
48,MURDER & NON NEGL. MANSLAUGHTER                                ,4
48,RAPE                                  ,24
48,ROBBERY                               ,422
48,FELONY ASSAULT                        ,460
48,BURGLARY                              ,250
48,GRAND LARCENY                         ,506
48,GRAND LARCENY OF MOTOR VEHICLE                                  ,102
48,TOTAL SEVEN MAJOR FELONY OFFENSES,1768
49,MURDER & NON NEGL. MANSLAUGHTER                                ,2
49,RAPE                                  ,15
49,ROBBERY                               ,210
49,FELONY ASSAULT                        ,218
49,BURGLARY                              ,232
49,GRAND LARCENY                         ,360
49,GRAND LARCENY OF MOTOR VEHICLE                                  ,111
49,TOTAL SEVEN MAJOR FELONY OFFENSES,1148
